Year;Italy;Europe;Asia;North_america;Latin_america;Africa;World
1990;10;11.71514052;18.22598454;16.52983405;26.94723021;41.4560505;25.87870079
1991;9.9;11.37055201;17.47035277;16.02028237;26.44957815;40.89956361;25.21133245
1992;10;11.20003437;16.68561866;15.63067286;25.96580404;40.38995633;24.5785773
1993;9.7;10.93440889;16.2430324;15.21084774;25.49577257;39.89086578;24.18120437
1994;9.4;10.56535567;15.87582686;14.83116648;25.02886389;39.43426295;23.80487594
1995;9.2;10.43719392;15.4375837;14.43124209;24.56707585;39.01449605;23.36945847
1996;9.3;10.5175032;15.18622403;14.20188043;24.10837059;38.65330449;23.08123956
1997;9.4;10.56142962;14.87533845;13.95289483;23.64489117;38.32379602;22.75077752
1998;9.4;10.47400041;14.42406533;14.01422425;23.17912198;38.02124699;22.33767708
1999;9.4;10.47276838;13.94025954;13.89543823;22.71472837;37.73767324;21.91168366
2000;9.5;10.62807486;13.75904771;14.03697913;22.24734168;37.47788866;21.65153881
2001;9.4;10.39404262;13.41314916;13.775943;21.77056216;37.23469887;21.30638215
2002;9.4;10.33469073;13.25977233;13.65581811;21.29658417;37.01483999;21.05303934
2003;9.5;10.3451744;13.14614695;13.75566865;20.83295567;36.811267;20.83904676
2004;9.8;10.41977567;13.15969315;13.66549884;20.38626248;36.6123754;20.68541562
2006;9.6;10.3799827;13.11284921;13.96509696;19.55354039;36.22439008;20.39775655
2007;9.7;10.38322748;13.26149397;13.99473693;19.18452402;36.02775018;20.30710105
2008;9.8;10.55417879;13.43034367;13.74357082;18.84957504;35.82001721;20.19625896
2009;9.6;10.34271585;13.31321587;13.28250635;18.54588282;35.59705871;19.96785143
2010;9.5;10.35785545;13.27558055;12.81166293;18.26867239;35.35001221;19.77870117
2011;9.2;10.1638499;13.59462295;12.53088272;18.01731534;35.06550573;19.85467053
2012;9;10.00026644;14.00596909;12.44028612;17.77953718;34.74675736;19.95405818
2013;8.5;9.736224667;13.38925245;12.23982072;17.54923506;34.38831337;19.45244784
2014;8.3;9.793105384;13.63342401;12.3291778;17.32051157;33.9974317;19.46419186
2015;8;9.663873136;12.99711093;12.22920215;17.08870608;33.57349812;18.95222527
2016;7.8;9.708074293;13.36787318;12.03865535;16.85022181;33.12806873;19.07101724
2017;7.6;9.480326043;12.79772977;11.64796254;16.6043448;32.6716583;18.66534705
2018;7.3;9.283651971;12.09347127;11.44666597;16.36223184;32.21471823;18.14881146
2019;7;9.1087708;11.77635239;11.24533572;16.11524308;31.76458974;17.87829381
2020;6.8;8.873871913;11.02688461;10.7451969;15.86394592;31.32790253;17.33421502
