Year;Italy;Europe;World
1990;56719240;311262608;5280062644
1991;56758521;312708132;5368139818
1992;56797087;314162056;5452576967
1993;56831821;315449093;5537885402
1994;56843400;316366781;5622085293
1995;56844303;317181461;5706753581
1996;56860281;318003013;5789655178
1997;56890372;318761752;5872284397
1998;56906744;319433985;5954004340
1999;56916317;320258891;6034484369
2000;56942108;321310789;6114324044
2001;56974100;322547874;6193663732
2002;57059007;324125339;6272724236
2003;57313203;325885957;6351855732
2004;57685327;327682513;6431527221
2006;58143979;330922785;6592711655
2007;58438310;332645162;6674181848
2008;58826731;334274725;6757000414
2009;59095365;335360891;6839553692
2010;59277417;336151482;6921854591
2011;59379449;335419656;7003760440
2012;59539717;336159199;7089254548
2013;60233948;337302111;7175500378
2014;60789140;338462234;7261846543
2015;60730582;339488382;7347679005
2016;60627498;340481755;7433569330
2017;60536709;341217243;7519183399
2018;60421760;341979171;7602432733
2019;59729081;342283354;7683437977
2020;59449527;342708355;7763498647
